model,source_dataset,shift_dataset,feature,classes,mean_centroid_shift_l2,median_centroid_shift_l2,cross_domain_nearest_centroid_acc
shvit,imagenet200,imagenetr,patch_embed,16,0.32861565332859755,0.3253593295812607,0.17625
shvit,imagenet200,imagenetr,blocks1,16,0.19663350796326995,0.1941497102379799,0.21375
shvit,imagenet200,imagenetr,blocks3,16,0.20476491563022137,0.1876065954566002,0.4475
shvit,imagenet200,imagenetr,pooled,16,0.20476491563022137,0.1876065954566002,0.4475
shvit,imagenet200,imagenetr,logits,16,0.5270398128777742,0.5053628385066986,0.61875
dhvit,imagenet200,imagenetr,patch_embed,16,0.3457783302292228,0.3403601348400116,0.16875
dhvit,imagenet200,imagenetr,blocks1,16,0.21884028427302837,0.21959860622882843,0.1925
dhvit,imagenet200,imagenetr,blocks3_A,16,0.11765187233686447,0.11891016364097595,0.52625
dhvit,imagenet200,imagenetr,blocks3_B,16,0.13838277757167816,0.13895829021930695,0.46125
dhvit,imagenet200,imagenetr,feat_A,16,0.11765187233686447,0.11891016364097595,0.52625
dhvit,imagenet200,imagenetr,feat_B,16,0.13838277757167816,0.13895829021930695,0.46125
dhvit,imagenet200,imagenetr,feat_mean,16,0.17229387164115906,0.17528074979782104,0.51875
dhvit,imagenet200,imagenetr,logits_ensemble,16,0.5321739632636309,0.53779536485672,0.4875
