dataset,class_name,num_samples,shvit_acc,dhvit_acc,dhvit_loss
imagenetr,n02129604,50,0.5,0.2,0.3
imagenetr,n01644373,50,0.42,0.26,0.15999999999999998
imagenetr,n04522168,50,0.48,0.32,0.15999999999999998
imagenetr,n02106166,50,0.52,0.38,0.14
imagenetr,n02119022,50,0.28,0.14,0.14
imagenetr,n02130308,50,0.32,0.18,0.14
imagenetr,n03710193,50,0.14,0.0,0.14
imagenetr,n07714571,50,0.4,0.26,0.14
imagenetr,n04536866,50,0.36,0.22,0.13999999999999999
imagenetr,n04254680,50,0.56,0.44,0.12000000000000005
imagenetr,n01748264,50,0.3,0.18,0.12
imagenetr,n02138441,50,0.46,0.34,0.12
imagenetr,n02279972,50,0.66,0.54,0.12
imagenetr,n01694178,50,0.28,0.18,0.10000000000000003
imagenetr,n01770393,50,0.4,0.3,0.10000000000000003
imagenetr,n01784675,50,0.4,0.3,0.10000000000000003
imagenetr,n02317335,50,0.4,0.3,0.10000000000000003
imagenetr,n02749479,50,0.46,0.36,0.10000000000000003
imagenetr,n07753275,50,0.52,0.42,0.10000000000000003
imagenetr,n02113624,50,0.22,0.12,0.1
imagenetr,n02483362,50,0.16,0.06,0.1
imagenetr,n07697313,50,0.22,0.12,0.1
imagenetr,n02085620,50,0.38,0.28,0.09999999999999998
imagenetr,n02672831,50,0.58,0.48,0.09999999999999998
imagenetr,n04465501,50,0.42,0.32,0.09999999999999998
imagenetr,n01531178,50,0.4,0.32,0.08000000000000002
imagenetr,n02088238,50,0.44,0.36,0.08000000000000002
imagenetr,n02110958,50,0.34,0.26,0.08000000000000002
imagenetr,n02113799,50,0.32,0.24,0.08000000000000002
imagenetr,n02117135,50,0.14,0.06,0.08000000000000002
imagenetr,n02607072,50,0.14,0.06,0.08000000000000002
imagenetr,n02793495,50,0.46,0.38,0.08000000000000002
imagenetr,n03452741,50,0.38,0.3,0.08000000000000002
imagenetr,n04192698,50,0.32,0.24,0.08000000000000002
imagenetr,n02088364,50,0.3,0.22,0.07999999999999999
imagenetr,n02701002,50,0.3,0.22,0.07999999999999999
imagenetr,n02951358,50,0.12,0.04,0.07999999999999999
imagenetr,n03930630,50,0.3,0.22,0.07999999999999999
imagenetr,n02009912,50,0.48,0.4,0.07999999999999996
imagenetr,n03345487,50,0.42,0.34,0.07999999999999996
imagenetr,n04146614,50,0.36,0.28,0.07999999999999996
imagenetr,n07768694,50,0.36,0.28,0.07999999999999996
imagenetr,n01820546,50,0.56,0.5,0.06000000000000005
imagenetr,n04487394,50,0.28,0.22,0.060000000000000026
imagenetr,n01443537,50,0.14,0.08,0.06000000000000001
imagenetr,n01944390,50,0.14,0.08,0.06000000000000001
imagenetr,n03124170,50,0.14,0.08,0.06000000000000001
imagenetr,n01833805,50,0.16,0.1,0.06
imagenetr,n02056570,50,0.26,0.2,0.06
imagenetr,n02071294,50,0.4,0.34,0.06
imagenetr,n02091134,50,0.32,0.26,0.06
imagenetr,n02099712,50,0.3,0.24,0.06
imagenetr,n02108915,50,0.3,0.24,0.06
imagenetr,n02112018,50,0.3,0.24,0.06
imagenetr,n02128385,50,0.26,0.2,0.06
imagenetr,n02134084,50,0.2,0.14,0.06
imagenetr,n02190166,50,0.12,0.06,0.06
imagenetr,n02268443,50,0.2,0.14,0.06
imagenetr,n02480495,50,0.32,0.26,0.06
imagenetr,n02769748,50,0.08,0.02,0.06
imagenetr,n02980441,50,0.2,0.14,0.06
imagenetr,n03424325,50,0.24,0.18,0.06
imagenetr,n03602883,50,0.38,0.32,0.06
imagenetr,n03888257,50,0.26,0.2,0.06
imagenetr,n04141076,50,0.18,0.12,0.06
imagenetr,n07720875,50,0.36,0.3,0.06
imagenetr,n07742313,50,0.34,0.28,0.06
imagenetr,n01774750,50,0.34,0.3,0.040000000000000036
imagenetr,n02051845,50,0.46,0.42,0.040000000000000036
imagenetr,n02106662,50,0.46,0.42,0.040000000000000036
imagenetr,n03272010,50,0.28,0.24,0.040000000000000036
imagenetr,n04147183,50,0.76,0.72,0.040000000000000036
imagenetr,n01518878,50,0.16,0.12,0.04000000000000001
imagenetr,n01855672,50,0.16,0.12,0.04000000000000001
imagenetr,n01910747,50,0.16,0.12,0.04000000000000001
imagenetr,n01983481,50,0.22,0.18,0.04000000000000001
imagenetr,n02423022,50,0.22,0.18,0.04000000000000001
imagenetr,n02655020,50,0.16,0.12,0.04000000000000001
imagenetr,n02797295,50,0.22,0.18,0.04000000000000001
imagenetr,n02802426,50,0.16,0.12,0.04000000000000001
imagenetr,n07749582,50,0.14,0.1,0.04000000000000001
imagenetr,n09472597,50,0.2,0.16,0.04000000000000001
imagenetr,n01882714,50,0.04,0.0,0.04
imagenetr,n02129165,50,0.08,0.04,0.04
